Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2020-01-01,7200.17431640625,7254.33056640625,7174.9443359375,7194.89208984375,18565664997
2020-01-02,6985.47021484375,7212.1552734375,6935.27001953125,7202.55126953125,20802083465
2020-01-03,7344.88427734375,7413.71533203125,6914.99609375,6984.4287109375,28111481032
2020-01-04,7410.65673828125,7427.3857421875,7309.51416015625,7345.37548828125,18444271275
2020-01-05,7411.3173828125,7544.4970703125,7400.53564453125,7410.45166015625,19725074095
2020-01-06,7769.21923828125,7781.8671875,7409.29296875,7410.4521484375,23276261598
2020-01-07,8163.6923828125,8178.2158203125,7768.2275390625,7768.68212890625,28767291327
2020-01-08,8079.86279296875,8396.73828125,7956.7744140625,8161.935546875,31672559265
2020-01-09,7879.0712890625,8082.2958984375,7842.40380859375,8082.2958984375,24045990466
2020-01-10,8166.55419921875,8166.55419921875,7726.77490234375,7878.3076171875,28714583844
2020-01-11,8037.53759765625,8218.359375,8029.64208984375,8162.19091796875,25521165085
2020-01-12,8192.494140625,8200.0634765625,8009.05908203125,8033.26171875,22903438381
2020-01-13,8144.1943359375,8197.7880859375,8079.70068359375,8189.77197265625,22482910688
2020-01-14,8827.7646484375,8879.51171875,8140.93310546875,8140.93310546875,44841784107
2020-01-15,8807.0107421875,8890.1171875,8657.1875,8825.34375,40102834650
2020-01-16,8723.7861328125,8846.4609375,8612.095703125,8812.4814453125,31313981931
2020-01-17,8929.0380859375,8958.1220703125,8677.31640625,8725.2099609375,36372139320
2020-01-18,8942.80859375,9012.1982421875,8827.33203125,8927.2119140625,32337772627
2020-01-19,8706.2451171875,9164.3623046875,8620.080078125,8941.4453125,34217320471
2020-01-20,8657.642578125,8745.5908203125,8560.4736328125,8704.6318359375,26422375678
2020-01-21,8745.89453125,8755.7060546875,8544.5205078125,8658.9912109375,24097418512
2020-01-22,8680.8759765625,8792.994140625,8636.7470703125,8744.2109375,22600204051
2020-01-23,8406.515625,8687.7470703125,8333.6376953125,8680.650390625,25770680779
2020-01-24,8445.4345703125,8514.6669921875,8266.8408203125,8405.5673828125,24397913026
2020-01-25,8367.84765625,8458.453125,8296.21875,8440.119140625,19647331549
2020-01-26,8596.830078125,8602.4013671875,8325.498046875,8364.41015625,22177678796
