This file was created using the 202510 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom
192701,   0.57
192702,  -1.50
192703,   3.52
192704,   4.36
192705,   2.78
192706,   0.55
192707,   4.22
192708,   1.25
192709,   1.93
192710,  -0.92
192711,  -0.22
192712,   3.11
192801,  -0.46
192802,  -1.07
192803,   4.70
192804,  -5.85
192805,   2.64
192806,   1.79
192807,   2.67
192808,   3.68
192809,   3.40
192810,   5.11
192811,   1.78
192812,   1.58
192901,   2.43
192902,   3.10
192903,  -0.54
192904,   2.07
192905,  -2.32
192906,   8.31
192907,   2.95
192908,   4.40
192909,   2.96
192910,   2.44
192911,  -2.07
192912,   5.43
193001,  -5.46
193002,   1.15
193003,  -4.23
193004,   4.13
193005,  -0.76
193006,   5.84
193007,  -2.14
193008,   3.87
193009,  11.59
193010,   6.27
193011,  -1.32
193012,  12.48
193101, -11.10
193102, -13.58
193103,   9.72
193104,  11.00
193105,   9.23
193106, -17.60
193107,   8.40
193108,  -3.12
193109,   9.29
193110,   2.97
193111,   7.94
193112,  12.95
193201,  -9.94
193202,   1.49
193203,  10.04
193204,   7.63
193205,  12.54
193206,   1.92
193207, -45.74
193208, -52.61
193209,   2.46
193210,   4.62
193211,  -0.96
193212,   4.64
193301,  -2.44
193302,   4.65
193303,   4.24
193304, -17.40
193305,  -5.54
193306,   4.18
193307,  -0.35
193308,   7.54
193309,   1.61
193310,  -2.21
193311,   6.48
193312,   4.01
193401,  -3.39
193402,   0.09
193403,  -0.67
193404,  -4.81
193405,  -2.39
193406,  -0.79
193407,   8.80
193408,   2.56
193409,  -0.06
193410,   6.88
193411,   3.77
193412,   4.53
193501,   3.10
193502,  14.46
193503,   2.37
193504,  -4.75
193505,  -3.59
193506,   2.67
193507,  -4.78
193508,  -6.46
193509,   8.31
193510,   1.82
193511,  -7.04
193512,   3.70
193601,  -2.94
193602,   2.53
193603,   1.63
193604,  -7.67
193605,   2.50
193606,   0.56
193607,   2.49
193608,   0.60
193609,   1.41
193610,   0.68
193611,   2.04
193612,   2.13
193701,  -1.99
193702,   2.78
193703,   3.31
193704,  -3.54
193705,   0.57
193706,   0.78
193707,  -0.45
193708,  -1.86
193709,  -6.81
193710,  -1.46
193711,  -1.31
193712,   4.85
193801,  -1.74
193802,  -2.84
193803,  15.78
193804,  -9.85
193805,   6.98
193806, -24.87
193807,  -6.77
193808,   3.49
193809,   2.45
193810,  -7.53
193811,   3.32
193812,   2.33
193901,  -2.96
193902,   3.08
193903,  -1.86
193904,   2.73
193905,   3.47
193906,   2.25
193907,  -0.69
193908,   5.96
193909, -31.45
193910,   6.55
193911,  -0.39
193912,   5.42
194001,   1.74
194002,   1.67
194003,  -0.54
194004,   3.35
194005,   2.77
194006,  -2.46
194007,   0.93
194008,  -1.80
194009,  -0.06
194010,  -5.76
194011,   1.31
194012,   3.54
194101,  -4.40
194102,   1.04
194103,   2.47
194104,   3.05
194105,   2.52
194106,  -0.77
194107,  -1.56
194108,   0.18
194109,  -1.59
194110,   4.90
194111,   4.41
194112,   0.40
194201,  -3.82
194202,  -0.72
194203,  -0.26
194204,  -0.83
194205,  -4.78
194206,  -1.36
194207,   0.79
194208,   0.02
194209,  -0.89
194210,  -4.31
194211,  -1.07
194212,   3.18
194301,  -0.30
194302,  -1.63
194303,   4.72
194304,   5.86
194305,   5.90
194306,  -1.32
194307,  -4.51
194308,   0.90
194309,   1.73
194310,  -0.69
194311,  -4.47
194312,   5.94
194401,   0.75
194402,   0.34
194403,   2.61
194404,   0.51
194405,   1.90
194406,  -5.52
194407,   0.14
194408,   4.75
194409,  -1.31
194410,  -1.32
194411,   1.36
194412,   3.31
194501,   0.03
194502,   3.20
194503,  -3.07
194504,   4.71
194505,   0.15
194506,   4.14
194507,  -2.68
194508,  -1.30
194509,   1.37
